League,Season,Stage,Player,Team,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,birth_year,birth_month,birth_date,height,height_cm,weight,weight_kg,nationality,high_school,draft_round,draft_pick,draft_team,position
Bosnian-BiH-Liga,2019 - 2020,International,Srdan Damjanovic,TAK,20,194.6,49,21,0.477,3,0.214,4,0.444,8,13,21,20,6,0,18,18,1994,Dec,"Dec 18, 1994",6-2,188,180,82,Bosnia and Herzegovina,,,,,G
Bosnian-BiH-Liga,2019 - 2020,International,Stefan Simanic,IGO,10,95.8,48,20,0.526,2,0.286,6,0.667,7,31,38,8,2,5,8,5,2001,Aug,"Aug 2, 2001",6-10,208,N/A,,Bosnia and Herzegovina,,,,,C
Bosnian-BiH-Liga,2019 - 2020,International,Emir Sabic,ZRI,10,204.0,45,16,0.372,9,0.3,4,1.0,4,14,18,15,7,0,16,27,1996,Sep,"Sep 12, 1996",6-3,191,185,84,Croatia,,,,,G
Bosnian-BiH-Liga,2019 - 2020,International,Jasmin Jakupovic,SLO,17,129.8,45,18,0.419,6,0.333,3,0.75,10,13,23,14,3,0,10,21,1997,Apr,"Apr 1, 1997",6-3,191,190,86,Bosnia and Herzegovina,,,,,SF
Bosnian-BiH-Liga,2019 - 2020,International,Matija Zunic,ZRI,13,184.1,44,15,0.455,10,0.5,4,1.0,8,21,29,7,3,0,2,19,1996,Jun,"Jun 7, 1996",6-4,193,N/A,,Serbia,,,,,GF
Bosnian-BiH-Liga,2019 - 2020,International,Brian Long,BRAT,16,180.0,41,13,0.241,6,0.167,9,0.563,6,15,21,4,5,1,9,35,,,,6-4,193,N/A,,United States,Killeen High School,,,,F
Bosnian-BiH-Liga,2019 - 2020,International,Haris Dedajic,SLO,10,137.0,40,11,0.324,4,0.235,14,0.7,2,8,10,35,4,0,19,17,2001,Jan,"Jan 29, 2001",6-0,183,178,81,Bosnia and Herzegovina,,,,,PG
Bosnian-BiH-Liga,2019 - 2020,International,Admir Dzihan,PROM,16,139.8,39,16,0.39,4,0.182,3,0.429,3,10,13,21,6,0,16,8,1996,May,"May 4, 1996",6-0,183,N/A,,Bosnia and Herzegovina,,,,,PG
Bosnian-BiH-Liga,2019 - 2020,International,Sanin Celik,VOG,13,179.7,37,12,0.353,5,0.217,8,0.727,1,8,9,6,2,0,11,13,,,,6-2,188,N/A,,Bosnia and Herzegovina,,,,,G
Bosnian-BiH-Liga,2019 - 2020,International,Nemanja Milidragovic,TAK,15,143.2,37,14,0.368,5,0.238,4,0.667,12,21,33,10,7,1,4,17,1997,May,"May 22, 1997",6-6,198,218,99,Bosnia and Herzegovina,,,,,F
Bosnian-BiH-Liga,2019 - 2020,International,Mate Susak,SIR,12,112.3,37,15,0.484,6,0.462,1,0.333,2,14,16,16,3,1,4,9,1998,Dec,"Dec 16, 1998",6-8,203,N/A,,Bosnia and Herzegovina,,,,,F
Bosnian-BiH-Liga,2019 - 2020,International,Branislav Radak,CAP,16,116.6,37,12,0.545,0,0.0,13,0.765,9,10,19,3,1,1,10,25,1987,Apr,"Apr 26, 1987",6-10,208,230,104,Serbia,,,,,C
Bosnian-BiH-Liga,2019 - 2020,International,Mile Covic,SIR,16,108.5,30,14,0.519,0,0.0,2,0.25,12,16,28,6,6,0,7,17,1998,Jun,"Jun 18, 1998",6-9,206,N/A,,Bosnia and Herzegovina,,,,,F
Bosnian-BiH-Liga,2019 - 2020,International,Filip Dedijer,TAK,11,116.7,29,10,0.455,7,0.5,2,0.5,3,13,16,2,4,1,6,12,1988,Jul,"Jul 18, 1988",6-9,206,209,95,Serbia,,,,,FC
Bosnian-BiH-Liga,2019 - 2020,International,Dragan Dzajic,ZRI,11,62.3,28,10,0.588,6,0.5,2,1.0,2,7,9,7,5,5,2,5,2000,Jul,"Jul 15, 2000",6-2,188,N/A,,Croatia / Bosnia and Herzegovina,,,,,PG
Bosnian-BiH-Liga,2019 - 2020,International,Omar Pajic,CAP,11,112.4,24,10,0.385,2,0.154,2,0.5,2,12,14,5,2,0,7,10,1999,Aug,"Aug 24, 1999",6-9,206,N/A,,Bosnia and Herzegovina,,,,,C
Bosnian-BiH-Liga,2019 - 2020,International,Robert Soldo,ZRI,13,108.6,23,9,0.409,3,0.3,2,1.0,0,2,2,18,3,0,8,16,2000,Dec,"Dec 13, 2000",6-5,196,N/A,,Bosnia and Herzegovina,,,,,SF
Bosnian-BiH-Liga,2019 - 2020,International,Marko Damjanovic,SIR,11,44.6,20,9,0.6,0,0.0,2,1.0,3,6,9,2,1,0,5,8,1998,Nov,"Nov 30, 1998",7-0,213,N/A,,Croatia,,,,,C
Bosnian-BiH-Liga,2019 - 2020,International,Dino Allkic,PROM,13,105.0,15,7,0.412,1,0.2,0,0.0,6,14,20,7,3,1,7,8,1996,Oct,"Oct 6, 1996",6-5,196,N/A,,Bosnia and Herzegovina,,,,,G
Bosnian-BiH-Liga,2019 - 2020,International,Ismail Hodzic,PROM,12,67.4,11,4,0.364,1,0.167,2,1.0,1,4,5,10,4,1,7,6,1999,Jan,"Jan 8, 1999",6-5,196,N/A,,Bosnia and Herzegovina,,,,,F
Brazilian-NBB,2019 - 2020,International,Shamell Stallworth,SPFC,26,966.4,489,171,0.49,80,0.406,67,0.705,16,76,92,99,23,1,52,54,1980,Sep,"Sep 7, 1980",6-5,196,200,91,United States,Washington Union High School,,,,SG
Brazilian-NBB,2019 - 2020,International,Leonardo Meindl,SPFC,26,867.9,465,165,0.49,45,0.372,90,0.677,62,125,187,85,31,4,73,87,1993,Mar,"Mar 20, 1993",6-7,201,220,100,Brazil,,,,,SF
Brazilian-NBB,2019 - 2020,International,Nate Barnes,FAC,27,805.5,446,161,0.439,64,0.362,60,0.822,11,46,57,112,18,2,57,64,1990,Mar,"Mar 16, 1990",6-0,183,185,84,United States,,,,,PG
Brazilian-NBB,2019 - 2020,International,Leandro Barbosa,MIN,22,701.5,442,155,0.487,39,0.402,93,0.809,19,74,93,108,29,4,43,55,1982,Nov,"Nov 28, 1982",6-3,191,194,88,Brazil,,1,28,San Antonio Spurs,G
Brazilian-NBB,2019 - 2020,International,Betinho Duarte,PIN,27,746.4,434,133,0.467,53,0.39,115,0.833,8,91,99,93,25,5,82,73,1988,May,"May 24, 1988",6-5,196,202,92,Brazil,,,,,GF
Brazilian-NBB,2019 - 2020,International,Danilo Siqueira,MOG,24,826.2,429,141,0.532,33,0.363,114,0.792,23,81,104,56,27,12,64,66,1994,Jan,"Jan 10, 1994",6-4,193,176,80,Brazil,,,,,G
Brazilian-NBB,2019 - 2020,International,Mooch Jackson,FRA,25,795.2,428,137,0.521,48,0.44,106,0.946,21,93,114,79,25,12,29,37,1982,Aug,"Aug 12, 1982",6-1,185,207,94,United States,Gaithersburg High School,,,,G
Brazilian-NBB,2019 - 2020,International,Alex Garcia,MIN,26,832.6,423,151,0.442,55,0.333,66,0.795,22,117,139,118,36,5,66,70,1980,Mar,"Mar 4, 1980",6-2,188,220,100,Brazil,,,,,G-F
Brazilian-NBB,2019 - 2020,International,Rafael Mineiro,SAO,25,704.5,406,165,0.627,19,0.373,57,0.77,34,94,128,45,27,2,46,65,1987,Oct,"Oct 17, 1987",7-0,213,236,107,Brazil,,,,,C
Brazilian-NBB,2019 - 2020,International,Lucas Mariano,BOT,26,668.4,405,148,0.493,51,0.425,58,0.829,36,88,124,23,11,20,47,65,1993,Sep,"Sep 24, 1993",6-10,208,270,122,Brazil,,,,,C
Brazilian-NBB,2019 - 2020,International,Georginho de Paula,SPFC,26,985.6,402,125,0.445,48,0.34,104,0.813,34,193,227,194,34,21,72,58,1996,May,"May 24, 1996",6-6,198,194,88,Brazil,,,,,G
Brazilian-NBB,2019 - 2020,International,Yago Dos Santos,PAU,25,793.8,401,113,0.404,64,0.368,111,0.841,18,57,75,136,26,1,55,55,1999,Mar,"Mar 9, 1999",5-10,178,188,85,Brazil,,,,,PG
Brazilian-NBB,2019 - 2020,International,Marquinhos Vinicius,FLA,23,648.2,397,123,0.452,59,0.407,92,0.852,11,91,102,68,22,5,50,38,1984,May,"May 31, 1984",6-9,206,225,102,Brazil,,2,13,New Orleans Pelicans,F
Brazilian-NBB,2019 - 2020,International,Lucas Dias,FRA,25,793.8,387,122,0.475,45,0.375,98,0.778,35,96,131,55,22,18,42,57,1995,Jul,"Jul 6, 1995",6-10,208,220,100,Brazil,,,,,PF
Brazilian-NBB,2019 - 2020,International,Andre Bresolin,MOG,26,852.2,385,128,0.43,57,0.404,72,0.8,14,134,148,97,51,5,56,73,1987,Mar,"Mar 5, 1987",6-5,196,209,95,Brazil,,,,,GF
Brazilian-NBB,2019 - 2020,International,Corderro Bennett,PIN,26,823.0,384,155,0.558,24,0.375,50,0.758,13,67,80,100,32,1,59,62,1988,Mar,"Mar 29, 1988",6-1,185,182,83,United States,Holbrook High School,,,,G
Brazilian-NBB,2019 - 2020,International,Nick Wiggins,BAU,23,718.1,374,119,0.434,29,0.276,107,0.775,30,82,112,35,19,7,52,43,1991,Feb,"Feb 4, 1991",6-6,198,192,87,Canada,Amos P. Godby High School,,,,SG
Brazilian-NBB,2019 - 2020,International,Lucas Faggiano,BAU,26,879.0,372,129,0.496,31,0.333,83,0.806,7,67,74,142,47,2,62,54,1989,Mar,"Mar 21, 1989",6-2,188,185,84,Argentina,,,,,G
Brazilian-NBB,2019 - 2020,International,Devon Scott,MIN,26,705.1,372,134,0.65,2,0.5,102,0.75,75,128,203,56,22,21,49,71,1994,Apr,"Apr 7, 1994",6-9,206,215,98,United States,Northland High School,,,,PF
Brazilian-NBB,2019 - 2020,International,Kyle Fuller,CORI,26,686.1,351,122,0.424,49,0.353,58,0.682,11,32,43,66,21,0,42,45,1992,Jan,"Jan 27, 1992",6-1,185,200,91,United States,Rancho Verde High School,,,,PG
Brazilian-NBB,2019 - 2020,International,Ricardo Fischer,CORI,24,600.1,350,124,0.504,50,0.442,52,0.765,15,45,60,111,15,3,58,56,1991,May,"May 16, 1991",6-1,185,181,82,Brazil,,,,,G
Brazilian-NBB,2019 - 2020,International,Gelvis Solano,PAU,25,771.2,348,125,0.431,44,0.331,54,0.593,26,106,132,137,41,7,69,75,1994,Jun,"Jun 1, 1994",6-1,185,180,82,United States / Dominican Republic,High School For Health Professions,,,,G
Brazilian-NBB,2019 - 2020,International,Gerson Santo,RIO,26,723.6,347,151,0.629,0,0.0,45,0.643,50,113,163,36,17,4,33,72,1991,May,"May 12, 1991",6-9,206,238,108,Brazil,Colegio Avanco,,,,F
Brazilian-NBB,2019 - 2020,International,Walter Baxley,RIO,26,628.5,343,105,0.43,27,0.351,106,0.869,7,45,52,38,15,5,34,63,1984,Aug,"Aug 6, 1984",6-4,193,198,90,United States,North Forsyth High School,,,,GF
Brazilian-NBB,2019 - 2020,International,Arthur Silva,BRA,23,651.4,333,125,0.521,31,0.365,52,0.825,16,73,89,36,20,4,33,62,1982,Sep,"Sep 30, 1982",6-5,196,210,95,Brazil,,,,,GF
Brazilian-NBB,2019 - 2020,International,Dontrell Brite,CEA,26,675.0,331,126,0.474,31,0.323,48,0.787,21,53,74,97,50,1,54,77,1994,Mar,"Mar 31, 1994",5-9,175,175,79,United States,Nansemond River High School,,,,PG
Brazilian-NBB,2019 - 2020,International,Diego Figueredo,SAO,25,789.5,327,117,0.448,48,0.372,45,0.882,14,60,74,138,23,0,60,53,1991,Dec,"Dec 27, 1991",6-1,185,N/A,,Argentina,,,,,G
Brazilian-NBB,2019 - 2020,International,David Nesbitt,CORI,26,688.2,324,113,0.521,26,0.419,72,0.889,59,109,168,45,26,8,41,86,1991,Feb,"Feb 10, 1991",6-7,201,205,93,Bahamas,Grand Bahamas Catholic High School,,,,F
Brazilian-NBB,2019 - 2020,International,Nezinho Dos Santos,BRA,25,782.6,322,93,0.339,39,0.245,97,0.77,12,70,82,165,35,2,95,79,1981,Jan,"Jan 21, 1981",6-1,185,160,73,Brazil,,,,,PG
Brazilian-NBB,2019 - 2020,International,Enzo Ruiz,RIO,24,705.5,322,95,0.428,70,0.389,62,0.816,8,61,69,55,25,4,31,75,1988,Sep,"Sep 28, 1988",6-4,193,195,88,Argentina,,,,,SG
Brazilian-NBB,2019 - 2020,International,Luis Gustavo,PATO,24,711.8,318,113,0.452,36,0.346,56,0.812,20,54,74,52,19,0,39,65,1991,Nov,"Nov 13, 1991",6-3,191,N/A,,Brazil,,,,,G
Brazilian-NBB,2019 - 2020,International,Jamaal Smith,BOT,23,709.0,317,97,0.441,57,0.438,66,0.795,15,55,70,109,15,2,52,71,1985,Feb,"Feb 25, 1985",5-9,175,175,79,United States,Foothill High School ,,,,G
Brazilian-NBB,2019 - 2020,International,Rafael Hettsheimeir,FRA,23,570.0,311,103,0.456,28,0.311,77,0.819,23,95,118,29,11,9,44,51,1986,Jun,"Jun 16, 1986",6-10,208,265,120,Brazil,,,,,FC
Brazilian-NBB,2019 - 2020,International,Renan Santos Lenz,SPFC,25,756.3,308,116,0.552,48,0.425,28,0.7,36,107,143,36,16,29,19,78,1990,Sep,"Sep 10, 1990",6-9,206,221,100,Brazil,,,,,F
Brazilian-NBB,2019 - 2020,International,Douglas Nunes,FAC,27,730.1,308,115,0.489,40,0.385,38,0.826,41,127,168,57,18,15,40,56,1987,Feb,"Feb 9, 1987",6-10,208,198,90,Brazil,,,,,FC
Brazilian-NBB,2019 - 2020,International,Rafael Moreira,BRA,26,717.3,304,104,0.441,64,0.427,32,0.667,23,70,93,27,15,1,30,89,1991,Nov,"Nov 16, 1991",6-7,201,222,101,Brazil,,,,,GF
Brazilian-NBB,2019 - 2020,International,Rashaun McLemore,CEA,24,680.5,299,103,0.433,37,0.363,56,0.727,12,67,79,46,24,0,33,57,1986,May,"May 13, 1986",6-4,193,190,86,United States,Mt. Zion Christian Academy,,,,SG
Brazilian-NBB,2019 - 2020,International,Ronald Reis,BRA,25,730.7,291,107,0.491,3,0.188,74,0.685,60,125,185,29,13,21,74,63,1991,Dec,"Dec 23, 1991",6-11,211,232,105,Brazil,,,,,C
Brazilian-NBB,2019 - 2020,International,Fulvio de Assis,MOG,22,665.3,288,81,0.411,52,0.403,74,0.902,17,60,77,135,18,0,65,47,1981,Aug,"Aug 15, 1981",6-2,188,179,81,Italy / Brazil,,,,,SG
Brazilian-NBB,2019 - 2020,International,Guido Mariani,SAO,27,714.6,284,88,0.378,46,0.362,62,0.861,12,59,71,65,18,1,53,37,1994,Aug,"Aug 18, 1994",6-4,193,N/A,,Argentina,,,,,SG
Brazilian-NBB,2019 - 2020,International,Jefferson William,SPFC,25,688.9,280,96,0.356,61,0.339,27,0.771,43,109,152,37,15,8,31,53,1983,Mar,"Mar 29, 1983",6-10,208,252,114,Brazil,,,,,PF
Brazilian-NBB,2019 - 2020,International,Joao Vitor Franca,FAC,27,508.6,276,107,0.591,6,0.462,56,0.667,48,140,188,17,13,40,35,63,1998,Dec,"Dec 15, 1998",7-0,213,N/A,,Brazil,,,,,PF
Brazilian-NBB,2019 - 2020,International,Duda Machado,SAO,27,682.3,269,83,0.369,51,0.342,52,0.881,9,77,86,102,30,5,63,63,1982,Sep,"Sep 10, 1982",6-3,191,195,88,Brazil,,,,,G
Brazilian-NBB,2019 - 2020,International,Art Bernardi,BOT,24,613.6,269,98,0.443,38,0.352,35,0.778,34,71,105,39,13,5,43,63,1990,Mar,"Mar 16, 1990",6-9,206,225,102,Brazil,Colegio Avanco,,,,PF
Brazilian-NBB,2019 - 2020,International,Caio Torres,PIN,27,528.3,265,104,0.473,30,0.37,27,0.6,32,77,109,24,18,5,29,57,1987,Jun,"Jun 3, 1987",6-11,211,275,125,Brazil,,,,,FC
Brazilian-NBB,2019 - 2020,International,Nehemias Morillo Lajara,SAO,13,394.5,261,92,0.467,28,0.384,49,0.778,19,52,71,39,15,0,29,30,1992,Aug,"Aug 21, 1992",6-5,196,175,79,Dominican Republic,,,,,G
Brazilian-NBB,2019 - 2020,International,Zach Graham,FLA,24,572.0,261,90,0.526,37,0.42,44,0.83,10,47,57,30,20,4,26,30,1989,Mar,"Mar 28, 1989",6-6,198,210,95,United States,Peachtree Ridge High School,,,,G
Brazilian-NBB,2019 - 2020,International,Luiz dos Santos,SAO,27,634.1,260,110,0.582,0,0.0,40,0.597,46,72,118,51,22,8,21,88,1983,Sep,"Sep 15, 1983",6-8,203,242,110,Brazil,,,,,FC
Brazilian-NBB,2019 - 2020,International,Fabian Oscar Sahdi,RIO,22,570.7,260,60,0.455,37,0.44,103,0.954,1,51,52,140,17,0,74,50,1989,Jul,"Jul 24, 1989",6-1,185,N/A,,Argentina,,,,,G
Brazilian-NBB,2019 - 2020,International,Andre Dikembe,PAU,25,588.5,257,110,0.579,0,0.0,37,0.561,75,120,195,19,15,8,42,62,1999,Aug,"Aug 19, 1999",6-9,206,245,111,Brazil,,,,,PF
Brazilian-NBB,2019 - 2020,International,Dominique Coleman,PAU,23,558.9,253,86,0.391,48,0.35,33,0.805,17,52,69,21,14,1,27,54,1988,Nov,"Nov 26, 1988",6-4,193,201,91,United States,Shiloh High School,,,,GF
Brazilian-NBB,2019 - 2020,International,Leonardo Demetrio,FLA,24,466.6,249,95,0.522,25,0.352,34,0.557,31,82,113,17,8,14,22,54,1994,Mar,"Mar 24, 1994",6-8,203,198,90,Brazil,,,,,PF
Brazilian-NBB,2019 - 2020,International,Olivinha Rodriguez,FLA,22,492.8,248,88,0.458,29,0.403,43,0.768,40,98,138,23,21,4,25,36,1983,Apr,"Apr 18, 1983",6-8,203,260,118,Brazil,,,,,PF
Brazilian-NBB,2019 - 2020,International,Alex Oliveira,CEA,24,657.7,248,87,0.378,36,0.271,38,0.514,21,49,70,30,10,1,29,58,1983,Aug,"Aug 17, 1983",6-5,196,228,103,Brazil,,,,,F
Brazilian-NBB,2019 - 2020,International,Gui Pereira,MIN,24,599.2,246,90,0.443,43,0.344,23,0.852,25,69,94,36,30,4,27,61,1991,Jun,"Jun 2, 1991",6-3,191,198,90,Brazil,,,,,F
Brazilian-NBB,2019 - 2020,International,Ralfi Ansaloni,RIO,26,530.0,246,86,0.439,20,0.25,54,0.72,31,120,151,30,9,8,44,78,1987,Dec,"Dec 26, 1987",7-0,213,220,100,Brazil,,,,,FC
Brazilian-NBB,2019 - 2020,International,Renato Carbonari,BAU,23,630.6,245,99,0.49,17,0.309,30,0.698,38,90,128,35,18,1,42,51,1987,Apr,"Apr 24, 1987",6-9,206,251,114,Brazil,,,,,FC
Brazilian-NBB,2019 - 2020,International,Brandon Davis,CEA,25,583.9,243,78,0.398,55,0.39,32,0.842,16,38,54,28,21,2,24,38,1988,Aug,"Aug 5, 1988",6-6,198,190,86,United States,Edward H. White High School,,,,G
Brazilian-NBB,2019 - 2020,International,Kenny Dawkins,PIN,24,701.1,240,76,0.386,50,0.397,38,0.717,11,76,87,87,33,1,60,52,1987,Jul,"Jul 23, 1987",5-9,175,155,70,United States,Holly Springs High School,,,,PG
Brazilian-NBB,2019 - 2020,International,Tyrone Curnell,MIN,23,641.5,240,87,0.426,21,0.233,45,0.763,30,81,111,36,22,11,40,68,1988,Apr,"Apr 22, 1988",6-8,203,215,98,United States,West Orange High School,,,,F
Brazilian-NBB,2019 - 2020,International,Malcolm Miller,FAC,23,549.1,237,86,0.457,39,0.386,26,0.788,17,54,71,34,12,3,22,50,1991,Sep,"Sep 4, 1991",6-6,198,200,91,United States,Robert E. Lee High School,,,,GF
Brazilian-NBB,2019 - 2020,International,Henrique Coelho,BOT,20,600.4,234,73,0.453,31,0.33,57,0.77,25,36,61,93,26,1,38,70,1993,Feb,"Feb 17, 1993",6-0,183,176,80,Brazil,,,,,PG
Brazilian-NBB,2019 - 2020,International,Tracy Robinson,CORI,26,585.0,233,86,0.48,25,0.338,36,0.735,17,64,81,36,8,6,22,64,1986,Aug,"Aug 31, 1986",6-7,201,190,86,United States,Leo Catholic High School,,,,F
Brazilian-NBB,2019 - 2020,International,Alexandre Paranhos,MOG,23,514.2,229,93,0.508,0,0.0,43,0.597,65,102,167,11,16,11,50,58,1992,Mar,"Mar 2, 1992",6-8,203,241,109,Brazil,,,,,PF
Brazilian-NBB,2019 - 2020,International,Carlos Schattmann,FRA,24,464.4,228,81,0.509,35,0.417,31,0.738,8,54,62,36,11,0,24,52,1987,May,"May 14, 1987",6-3,191,190,86,Argentina,,,,,SG
Brazilian-NBB,2019 - 2020,International,Luis Gruber,MOG,14,429.6,226,80,0.415,23,0.307,43,0.811,18,50,68,21,18,17,26,41,1985,Apr,"Apr 16, 1985",6-9,206,244,111,Brazil / Italy,,,,,PF
Brazilian-NBB,2019 - 2020,International,Victor da Silva,PAU,25,577.9,225,90,0.486,32,0.33,13,0.722,32,62,94,25,11,6,35,71,1997,Apr,"Apr 6, 1997",6-8,203,210,95,Brazil,,,,,C
Brazilian-NBB,2019 - 2020,International,Rafael Mineiro,FLA,24,562.6,224,84,0.545,16,0.457,40,0.597,32,65,97,31,14,5,26,51,1988,Jun,"Jun 3, 1988",6-9,206,225,102,Brazil,,,,,C
Brazilian-NBB,2019 - 2020,International,Paulo Da Costa,PATO,25,537.9,224,86,0.411,20,0.317,32,0.727,16,49,65,25,16,8,42,45,1994,Oct,"Oct 13, 1994",6-3,191,224,102,Brazil,,,,,GF
Brazilian-NBB,2019 - 2020,International,Marcao Vinicius,CEA,23,556.7,223,78,0.464,9,0.391,58,0.806,24,77,101,30,6,14,41,72,1984,Aug,"Aug 10, 1984",6-9,206,225,102,Brazil,,,,,F
Brazilian-NBB,2019 - 2020,International,Marcus Vinicius Toledo,PIN,24,605.9,220,82,0.526,0,0.0,56,0.609,64,59,123,40,30,5,35,57,1986,Jul,"Jul 10, 1986",6-7,201,226,103,Spain / Brazil,,,,,F
Brazilian-NBB,2019 - 2020,International,Gemerson Barbosa,FAC,25,534.2,219,74,0.43,21,0.304,50,0.746,39,87,126,28,14,1,38,55,1993,Mar,"Mar 29, 1993",6-9,206,248,112,Brazil,,,,,F
Brazilian-NBB,2019 - 2020,International,Vinicius Pastor,RIO,26,593.1,215,87,0.54,22,0.355,19,0.679,29,96,125,31,15,4,26,72,1993,Mar,"Mar 29, 1993",6-7,201,229,104,Brazil,,,,,PF
Brazilian-NBB,2019 - 2020,International,Chris Ware,PIN,27,573.9,211,80,0.46,36,0.4,15,0.625,23,90,113,27,9,5,27,66,1989,Jun,"Jun 23, 1989",6-8,203,275,125,United States,,,,,FC
Brazilian-NBB,2019 - 2020,International,Luciano Parodi Gonzalez,FRA,20,448.9,210,77,0.531,40,0.506,16,0.8,12,49,61,80,22,2,41,46,1994,Feb,"Feb 16, 1994",6-0,183,180,82,Uruguay,,,,,PG
Brazilian-NBB,2019 - 2020,International,Sualisson Da Silva,CEA,23,592.1,208,89,0.489,5,0.172,25,0.532,51,82,133,19,28,21,36,78,1992,Oct,"Oct 14, 1992",6-8,203,208,94,Brazil,,,,,F
Brazilian-NBB,2019 - 2020,International,Charles Funches,PATO,25,590.0,201,59,0.434,2,0.167,81,0.757,34,107,141,22,18,23,48,64,1988,Dec,"Dec 7, 1988",6-8,203,210,95,United States,United States Military Academy Preparatory School,,,,F
Brazilian-NBB,2019 - 2020,International,Daviyon Draper,BAU,13,343.4,200,79,0.506,21,0.382,21,0.724,14,45,59,10,13,6,19,49,1994,Aug,"Aug 6, 1994",6-7,201,217,98,United States,Locke High School,,,,F
Brazilian-NBB,2019 - 2020,International,Franco Balbi,FLA,24,686.8,199,66,0.373,21,0.247,46,0.793,15,78,93,177,36,2,60,52,1989,Aug,"Aug 21, 1989",6-1,185,185,84,Argentina,,,,,G
Brazilian-NBB,2019 - 2020,International,Kevin Crescenzi,BAU,26,635.3,197,66,0.398,38,0.365,27,0.675,20,56,76,45,29,3,28,59,1993,Jan,"Jan 2, 1993",6-3,191,195,88,United States,Tilton School,,,,G
Brazilian-NBB,2019 - 2020,International,Fabricio Russo,MOG,22,660.6,195,65,0.417,49,0.408,16,0.941,21,89,110,28,20,1,20,42,1985,May,"May 1, 1985",6-5,196,N/A,,Brazil,,,,,F
Brazilian-NBB,2019 - 2020,International,Maique Tavares,PAU,25,490.8,190,79,0.658,7,0.389,25,0.806,39,90,129,14,10,16,27,64,1993,Jun,"Jun 26, 1993",6-11,211,210,95,Brazil,,,,,C
Brazilian-NBB,2019 - 2020,International,Gabriel Jau Galvanini,BAU,26,543.1,188,77,0.443,11,0.208,23,0.404,29,100,129,31,18,8,47,84,1998,Sep,"Sep 11, 1998",6-8,203,215,98,Brazil,,,,,F
Brazilian-NBB,2019 - 2020,International,Felipe Vezaro,CORI,26,500.2,187,62,0.481,45,0.484,18,0.857,20,54,74,27,15,2,18,40,1992,Feb,"Feb 10, 1992",6-4,193,187,85,Brazil,,,,,SG
Brazilian-NBB,2019 - 2020,International,Guilherme Santos,BRA,17,439.7,187,65,0.433,15,0.357,42,0.724,20,52,72,25,14,2,31,40,1997,Mar,"Mar 20, 1997",6-3,191,225,102,Brazil,,,,,G
Brazilian-NBB,2019 - 2020,International,Augusto Leao,PATO,25,396.8,184,64,0.398,37,0.394,19,0.559,7,33,40,42,13,2,35,64,1998,Nov,"Nov 21, 1998",6-1,185,180,82,Brazil,,,,,PG
Brazilian-NBB,2019 - 2020,International,Eddy Carvalho,PAU,25,594.0,184,66,0.338,46,0.307,6,0.667,22,64,86,27,13,4,10,53,1987,Mar,"Mar 29, 1987",6-5,196,198,90,Brazil,,,,,GF
Brazilian-NBB,2019 - 2020,International,Caue dos Santos,BOT,19,606.8,183,62,0.428,17,0.293,42,0.875,11,70,81,71,20,2,38,43,1991,Aug,"Aug 13, 1991",5-11,180,172,78,Brazil,,,,,PG
Brazilian-NBB,2019 - 2020,International,Davi De Oliveira,MIN,23,640.5,181,61,0.433,35,0.389,24,0.667,11,45,56,65,20,0,20,61,1992,Jul,"Jul 27, 1992",5-10,178,180,82,Brazil,,,,,PG
Brazilian-NBB,2019 - 2020,International,Bruno Fiorotto,BRA,25,524.0,178,75,0.521,2,0.286,26,0.4,50,86,136,37,25,9,44,49,1984,Aug,"Aug 23, 1984",6-10,208,227,103,Brazil,,,,,C
Brazilian-NBB,2019 - 2020,International,Arthur Pecos,CORI,26,485.1,178,63,0.35,24,0.329,28,0.737,17,60,77,74,17,0,29,28,1994,Nov,"Nov 1, 1994",5-9,175,154,70,Brazil,,,,,PG
Brazilian-NBB,2019 - 2020,International,Gege Chaia,PATO,25,728.8,175,55,0.324,38,0.342,27,0.771,13,74,87,178,56,0,49,53,1991,Mar,"Mar 8, 1991",6-3,191,168,76,Brazil,,,,,PG
Brazilian-NBB,2019 - 2020,International,Agustin Ambrosino,SAO,26,355.2,173,66,0.512,23,0.46,18,0.783,22,43,65,24,6,5,18,48,1990,Aug,"Aug 10, 1990",6-8,203,225,102,Argentina / Italy,San Jose School,,,,PF
Brazilian-NBB,2019 - 2020,International,Jimmy de Oliveira,FRA,25,612.7,173,69,0.476,23,0.383,12,0.667,25,51,76,40,17,0,25,53,1990,Apr,"Apr 11, 1990",6-3,191,185,84,Brazil,,,,,SG
Brazilian-NBB,2019 - 2020,International,Wesley Ferreira,CORI,26,501.2,172,69,0.421,9,0.205,25,0.694,17,76,93,34,34,8,29,62,1995,Oct,"Oct 15, 1995",6-7,201,220,100,Brazil,,,,,F
Brazilian-NBB,2019 - 2020,International,Isaac Thornton,PATO,12,355.5,169,62,0.419,15,0.268,30,0.882,15,36,51,21,7,0,14,25,1991,Jun,"Jun 25, 1991",6-3,191,180,82,United States,Martinsburg High School,,,,G
Brazilian-NBB,2019 - 2020,International,Pedro Wellausen,BRA,26,608.4,165,48,0.358,22,0.379,47,0.701,8,61,69,64,27,3,36,48,1995,Sep,"Sep 8, 1995",6-8,203,210,95,Brazil,,,,,F
